Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,HasCabin,FamilySize,IsAlone,Title
0,3,1,-0.5657364610748746,1,0,-0.5641087873940193,2,0,0.059159876663617626,0,2
1,1,0,0.6638610320657843,1,0,0.9425480546638041,0,1,0.059159876663617626,0,3
1,3,0,-0.2583370877897099,0,0,-0.548226529750121,2,0,-0.5609748304808925,1,1
1,1,0,0.4333115021019107,1,0,0.5147082688618853,2,1,0.059159876663617626,0,3
0,3,1,0.4333115021019107,0,0,-0.5452853709271769,2,0,-0.5609748304808925,1,2
0,3,1,-0.10463740114712752,0,0,-0.5356783697479123,1,0,-0.5609748304808925,1,2
0,1,1,1.893458525206443,0,0,0.4855907965147383,2,1,-0.5609748304808925,1,2
0,3,1,-2.1027333275006983,3,1,-0.23881662157639924,2,0,1.9195639980971482,0,0
1,3,0,-0.1814872444684187,0,2,-0.47273757093690794,2,0,0.6792945838081278,0,3
1,2,0,-1.180535207645204,1,0,-0.027152009260873307,0,0,0.059159876663617626,0,3
1,3,0,-1.949033640858116,1,1,-0.3417571803794436,2,1,0.6792945838081278,0,1
1,1,0,2.200857898491608,0,0,-0.10999386513144661,2,1,-0.5609748304808925,1,1
0,3,1,-0.719436147717457,0,0,-0.5452853709271769,2,0,-0.5609748304808925,1,2
0,3,1,0.7407108753870755,1,5,0.0011819383758412065,2,0,3.1598334123861687,0,2
0,3,0,-1.180535207645204,0,0,-0.5498924021074366,2,0,-0.5609748304808925,1,1
1,2,0,1.9703083685277343,0,0,-0.35822766978793064,2,0,-0.5609748304808925,1,3
0,3,1,-2.1027333275006983,4,1,-0.04940599337879768,1,0,2.5396987052416584,0,0
1,2,1,-0.10463740114712752,0,0,-0.4288154815385896,2,0,-0.5609748304808925,1,2
0,3,0,0.12591212881674602,1,0,-0.3111691286208247,2,0,0.059159876663617626,0,3
1,3,0,-0.10463740114712752,0,0,-0.5646970191586081,0,0,-0.5609748304808925,1,3
0,2,1,0.4333115021019107,0,0,-0.12293496395240078,2,0,-0.5609748304808925,1,2
1,2,1,0.35646165878061953,0,0,-0.4288154815385896,2,1,-0.5609748304808925,1,2
1,3,0,-1.1036853643239128,0,0,-0.5457747797553149,1,0,-0.5609748304808925,1,1
1,1,1,-0.10463740114712752,0,0,0.10059310659135261,2,1,-0.5609748304808925,1,2
0,3,0,-1.6416342675729512,3,1,-0.23881662157639924,2,0,1.9195639980971482,0,1
1,3,0,0.6638610320657843,1,5,0.003828981316490934,2,0,3.1598334123861687,0,3
0,3,1,-0.10463740114712752,0,0,-0.5646970191586081,0,0,-0.5609748304808925,1,2
0,1,1,-0.7962859910387481,3,2,5.124238728242953,2,1,2.5396987052416584,0,2
1,3,0,-0.10463740114712752,0,0,-0.5493041703428477,1,0,-0.5609748304808925,1,1
0,3,1,-0.10463740114712752,0,0,-0.5489135844511608,2,0,-0.5609748304808925,1,2
0,1,1,0.8175607187083667,0,0,-0.08244579513222278,0,0,-0.5609748304808925,1,4
1,1,0,-0.10463740114712752,1,0,2.7128315501938722,0,1,0.059159876663617626,0,3
1,3,0,-0.10463740114712752,0,0,-0.5523441521022427,1,0,-0.5609748304808925,1,1
0,2,1,2.8156566450619374,0,0,-0.4876386579974721,2,0,-0.5609748304808925,1,2
0,1,1,-0.10463740114712752,1,0,1.1987229881422372,0,0,0.059159876663617626,0,2
0,1,1,0.9712604053509489,1,0,0.4888260712199769,2,0,0.059159876663617626,0,2
1,3,1,-0.10463740114712752,0,0,-0.5645981962221572,0,0,-0.5609748304808925,1,2
0,3,1,-0.6425863043961658,0,0,-0.5452853709271769,2,0,-0.5609748304808925,1,2
0,3,0,-0.8731358343600393,2,0,-0.3111691286208247,2,0,0.6792945838081278,0,1
1,3,0,-1.180535207645204,1,0,-0.4701869980056509,0,0,0.059159876663617626,0,1
0,3,0,0.8175607187083667,1,0,-0.511756160345614,2,0,0.059159876663617626,0,3
0,2,0,-0.1814872444684187,1,0,-0.2405813168701657,2,0,0.059159876663617626,0,3
0,3,1,-0.10463740114712752,0,0,-0.5489135844511608,0,0,-0.5609748304808925,1,2
1,2,0,-2.025883484179407,1,2,0.24363224832288793,0,0,1.299429290952638,0,1
1,3,0,-0.7962859910387481,0,0,-0.5493041703428477,1,0,-0.5609748304808925,1,1
0,3,1,-0.10463740114712752,0,0,-0.5452853709271769,2,0,-0.5609748304808925,1,2
0,3,1,-0.10463740114712752,1,0,-0.36999230507970715,1,0,0.059159876663617626,0,2
1,3,0,-0.10463740114712752,0,0,-0.5523441521022427,1,0,-0.5609748304808925,1,1
0,3,1,-0.10463740114712752,2,0,-0.22460023628981649,0,0,0.6792945838081278,0,2
